,Sentence,Sentiment
459,"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",neutral
460,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",negative
461,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",neutral
462,"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",positive
463,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",negative
464,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",neutral
465,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",positive
466,( I&H ) in a move to enhance growth .,positive
467,( The acquisition sum has not been disclosed . ),neutral
468,"+_lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +_lo P+Ærnits , chairman of the supervisory board of +_lemiste City and Mainor .",neutral
469,"+£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",neutral
470,"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",neutral
471,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",positive
472,- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .,neutral
473,- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,neutral
474,- Counter your competitor 's strengths and target their weaknesses .,neutral
475,"- Demand for fireplace products was lower than expected , especially in Germany .",negative
476,"- Demand for fireplace products was lower than expected , especially in Germany .",neutral
477,- I am pleased that Bjorn Wahlroos has accepted the nomination .,positive
478,"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .",neutral
479,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral
480,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,negative
481,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,neutral
482,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive
483,- Profit before taxes was EUR 105.9 82.7 million .,neutral
484,- Provides summary of the medical equipment pipeline products that the company is developing .,neutral
485,"- So , the sales growth of cars considerably influence on the tires market '' .",neutral
486,"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",negative
487,"- The Group - s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",neutral
488,"- The Group - s profit before taxes was EUR 0,2 7,8 million .",neutral
489,- The Group - s result before taxes was EUR -1.9 ( -3.0 ) million .,negative
490,- The Group - s result before taxes was a loss of EUR 0.6 ( +0.6 ) million .,neutral
491,"- The Group - s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",neutral
492,"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",neutral
493,"- The Group -¦ s profit before taxes was EUR 0,2 7,8 million .",neutral
494,- The Group -¦ s result before taxes was a loss of EUR 0.6 ( +0.6 ) million .,neutral
495,"- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",neutral
496,- Tikkurila inspires you to color your life .,neutral
497,- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,positive
498,-- Christine Idzelis EQT Partners sheds Salcomp Swedish financial investor EQT Partners is selling a majority of its stake in mobile phone charger manufacturer Salcomp Oyj to Nordic investment company Nordstjernan AB .,neutral
499,"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",neutral
500,.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive
501,"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition",positive
502,1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum .,neutral
503,1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .,positive
504,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,positive
505,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,positive
506,"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .",neutral
507,1.3 lakh investors traded via mobiles on NSE in Q1,neutral
508,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive
509,10 takeaways from the second-quarter results of Infosys,neutral
510,10 year bond yield drops to 15 month low ahead of inflation data,positive
511,10%-12% upside can be possible in Wockhardt: Avinnash Gorakssakar,positive
512,10-15 per cent upside still left in Infosys; could touch 3800 levels: Rajen Shah,positive
513,10-year bond falls on liquidity woes,negative
514,10-year bond falls on profit-booking,negative
515,10-year bond yield Soars to 8.8%,positive
516,10-year bond yield eases tracking fall in global oil prices,negative
517,10-year bond yield falls; debt buyback talk increases,positive
518,10-year bond yield hits 16-1/2 month low on rate cut hopes,positive
519,10-year bond yield off 13-month low on profit-booking,negative
520,10-year bond yield off lows; weakness in rupee hurts,negative
521,10-year bond yield slips to 8.17% as oil falls further,positive
522,10-year bond yields fall on Rajan comments on inflation,negative
523,10-year bond yields lower as long-term investors buy,positive
524,10-year bonds fall slightly; seen range-bound,negative
525,10-year bonds hit over 13-month high; fall in crude helps,positive
526,10-year bonds pare gains after budget announcements,negative
527,10-year yield at over 2-week high as RBI says to cut HTM,positive
528,10-year yield edges down on value buying; sale papers in line,negative
529,10-year yield to fall to 8-8.25% after FII limit rejig: BofA,negative
530,"10-yr bond pares early gains, tracking EM assets",negative
531,10-yr bond retreats from one-year high on profit-taking,negative
532,10-yr bond yield may not go below 8.70 per cent: IDBI Bank,negative
533,10-yr bond yield rises on profit-taking,positive
534,10-yr bond yield stays down; Friday debt sale watched,negative
535,10-yr bond yield stays down; Friday's debt sale watched,negative
536,10-yr bonds hit over 4-month high; RBI chief comments aid,positive
537,100 Infosys shares for 9.5K in 1993 now worth 4 crore,neutral
538,100 days of Narendra Modi government: Sensex rallies nearly 9%; top bets,positive
539,100 days of Vishal Sikka: Infosys up at 16.12 per cent,positive
540,100 per cent growth in PAT for Tube Investments,positive
541,103 alter funds allowed to operate in Ind by Sebi,neutral
542,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,negative
543,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,neutral
544,11 new entities seek membership of NCDEX forward segment,neutral
545,"128,538 shares can still be subscribed for with Series E share options , max .",neutral
546,15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .,positive
547,15 November 2010 - Finnish energy company Fortum Oyj HEL : FUM1V said today it and partners started negotiations to establish a new operating model for energy supply in the Turku region of western Finland .,neutral
548,15 September 2010 - Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .,neutral
549,"15,500-15,600 levels possible for Bank Nifty: Ashwani Gujral",positive
550,150 has been strong resistance for Everest Kanto: Sanjeev Agarwal,negative
551,155 stocks hit 52-week high as markets set new lifetime peaks,positive
552,16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,positive
553,160-165 level to watch out for in Eros: Deepak Mohoni,positive
554,17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative
555,17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,neutral
556,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,positive
557,18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative
558,18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,neutral
559,"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",positive
560,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral
561,"19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",neutral
562,191-192 is where price of NTPC to come in next few trading sessions: Sandeep Wagle,neutral
563,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,positive
564,2 years of Rajan: Analysts give 4.3 out of 5 to RBI governor,neutral
565,"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",negative
566,"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",neutral
567,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive
568,20 companies approach Sebi with public offer proposals,neutral
569,200 tonnes of gold to illegally enter India this year,neutral
570,"200-DMA strong support for Nifty; index may bounce back to 6,200 levels",positive
571,"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",negative
572,"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",neutral
573,"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",positive
574,2010 could well be the year of midcaps: BNP Paribas,positive
575,"2011: Gold, silver touch all-time highs amid economic turmoil and rising inflation",positive
576,2014 Lok Sabha elections: Nifty seen opening lower; poll results eyed,negative
577,2014 Lok Sabha elections: PSU banks surge as NDA set to win majority comfortably,positive
578,2014 Lok Sabha elections: Retail investors make hay as stocks soar on Narendra Modi wave,positive
579,"2014 not to be easier for rupee, other Asian currencies: HSBC",negative
580,"2014 will remain challenging for Indian banks, say analysts",negative
581,2014: A year for midcaps - Do you have a strategy?,positive
582,"2015: Best year for IPOs since 2010; Dr Lal surges 50%, Alkem gains 31% on street debut",positive
583,21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .,positive
584,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive
585,"22,214 is new closing high for Sensex: Top bets from experts",positive
586,"22,715 new all-time closing high for Sensex",positive
587,2270-2350 is the range for SBI: Sandeep Wagle,neutral
588,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,negative
589,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,neutral
590,25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,negative
591,25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,neutral
592,25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral
593,25 bps or 50 bps? RBI rate call to decide direction for Dalal Street,neutral
594,25% minimum upside in the South India Bank over one year: Angel Broking,positive
595,"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive
596,26 January 2011 - Finnish software solutions provider Basware ( HEL : BAS1V ) said yesterday it adjusted its strategy and goals for the next four years with focus on international growth mainly via acquisitions .,neutral
597,26 November 2010 - Finnish sports-equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today it has obtained a EUR30m Schuldschein note loan from a pool of international investors .,neutral
598,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",negative
599,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",neutral
600,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,positive
601,28 January 2011 - Finnish technology center operator Technopolis Oyj (HEL : TPS1V)said today it will invest EUR22 .5 m in the construction of the second phase of an office facility in Tampere .,neutral
602,28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,positive
603,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",positive
604,2G auction will not impact Idea Cellular,neutral
605,"2G auction: Telecom stocks seen correcting, call charges may get higher",negative
606,"2G auction: Will high bids hurt telecom stocks, make calls expensive?",negative
607,2G effect: Telecom stocks edge higher; auction on,positive
608,"2G impact: Bharti, Idea, RCom rally upto 4% as auction concludes",positive
609,2G scam: DB Realty shares down on CBI probe report,negative
610,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",positive
611,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive
612,3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .,positive
613,"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",neutral
614,"3 Sebi staff being probed in bribery, other cases",negative
615,"3 devils that can make life tough for Nifty bulls in next 6 monthsAgenciesNEW DELHI: Notwithstanding the recent pullback rally, both the US market and the broader market in India remain in firm bear grip. Nifty is, however, faring a tad better as the headline index is still around 1,000 points away from entering the much-feared bear zone. With central banks hiking interest rates globally, the worries around inflation are now giving way to recession.

A mid-year survey of a dozen brokerages by ETMarkets shows that many analysts are not ruling out a dip of another 5-10 per cent within the calendar year 2022. If the predictions come true, then the bear market may be a reality soon as a drop to 14,882, or 20 per cent from peak, would confirm the rule of bears.

â€œWhile a relief rally is highly likely, we believe that Nifty may test around 14,300-14,500 levels given the overall gloomy global sentiment,â€ Yesha Shah, Head of Equity Research, Samco Securities, said.
ETMarkets Smart Talk: Indiaâ€™s investable landscape wider than other EMs despite premium valuations: Piyush Sharma
Pankaj Pandey, Head â€“ Research, ICICIdirect, is among the most bullish in the lot as he believes that since most of the devils are known, we might not have major cracks from here.

Escalation of war and involvement of other nations, a persistently high inflation and a recession culminating in the west came out as top three looming concerns for the market.


Hereâ€™s what top brokerages said on what would be the three biggest concerns for the market:

Deepak Jasani, Head of Retail Research, HDFC Securities
Inflation at global levels that will influence the policies of central banks on interest rates will be the key concern area going forward. Apart from this, geo-political issues in Europe and China region have to be closely monitored. If recessionary conditions start cropping up in the developed economies, then emerging economies will suffer a fallout from this.


Roop Bhootra, CEO - Investment Services, Anand Rathi Shares and Stock Brokers
Inflation, geopolitical uncertainties and fear of recession especially in developed markets are biggest concerns for the market in near term. Market has seen a major part of correction and valuations have also come down, and now major indices are trading at attractive levels. Hence, most of the fall is behind us.


Vinit Bolinjkar, Head of Research, Ventura Securities
We believe that there is definitely room for correction. We do not rule out the market reaching 14,000-14,500 levels. The biggest concern being the hike in interest rate, escalation of geopolitical issues and increase in crude oil prices.


Siddarth Bhamre, Religare Broking
We believe most of the recent concerns for equities globally have emerged from the Russia-Ukraine war. If war led supply bottlenecks remain then we may see this fight with inflation stretching leading to further correction in valuations. Less than normal monsoon may break the back of rural demand which has been anyway marred by high inflation. Lastly, financial shocks which may emerge due to fall in asset prices.


Punit Patni, Equity Research Analyst, Swastika Investmart
The biggest concerns for the market going ahead would be higher than expected inflation, intense rate hikes by central banks leading to a hard landing, and slow down of economic growth. Most of the negativity is already factored in and therefore levels are attractive. However, further 5-10% fall canâ€™t be ruled out.


Shiv Chanani, Head of Research, Elara Securities India
Continued geo-political uncertainty remains the biggest risk for the market as it would entail sustained higher energy prices and hence elevated inflationary pressures. Secondly, risk would emanate from significant economic slowdown, particularly in markets like the US which could impact export demand. Finally, continued inflationary pressure would mean margin pressure for companies and possibility of earnings downgrade.


(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)


( Originally published on Jun 29, 202While a relief rally is highly likely, we believe that Nifty may test around 14,300-14,500 levels given the overall gloomy global sentiment,â€ Yesha Shah, Head of Equity Research, Samco Securities, said. Pankaj Pandey, Head  Research, ICICIdirect, is among the most bullish in the lot as he believes that since most of the devils are known, we might not have major cracks from here.",negative
616,3 firms approach Sebi with rights issue offer in January,neutral
617,3 promoters sell 54 lakh DB Corp shares for Rs 159.57 crore,negative
618,3-5 per cent correction unlikely to affect markets: P Phani Sekhar,neutral
619,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,positive
620,30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,negative
621,30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,neutral
622,"30-40% upside in ONGC and IOC: Hemang Jani, Sharekhan",positive
623,300 nifty points led by banking sector: Jagdish Malkani,positive
624,365 days of Modi govt: Global funds seen increasing India weightage: HSBC,neutral
625,38 companies in the BSE 500 have paid more than 25 per cent of their net profit as dividend,neutral
626,38% of global investors see rupee in 65-70 range in 2015: BofA-ML survey,neutral
627,"3G data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple SIM ownership .",neutral
628,3i Infotech shares in a free fall as ICICI Bank trims stake,negative
629,3i Infotech to begin talks for bond refinancing: Source,neutral
630,3i Infotech: Sale of low-margin biz to help boost profitability,positive
631,3rd red day in a row ? $TSLA,negative
632,4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .,neutral
633,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive
634,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",positive
635,4 February 2011 - Finnish privacy and security software developer Tectia Oyj ( HEL : TEC1V ) said Wednesday it has set up two strategic business units - managed security and mobile authentication .,neutral
636,4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .,neutral
637,4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,positive
638,"4,600 Sahara investors claim refund from Sebi",negative
639,40-50% earnings growth expected for Amara Raja Batteries in FY11: Anagram Capital,positive
640,4200 is key level for Titan: Ashwani Gujral,neutral
641,4200 levels for Nifty not unlikely in couple of weeks: Ashwani Gujral,negative
642,4300 levels is a possibility for Nifty: Rajat Bose,positive
643,4450 to 4480 may be next support range for Bank Nifty: Mitesh Thacker,positive
644,4597 key level on the Nifty: Ashwani Gujral,neutral
645,"49% FDI in insurance a great move; positives will outweigh the negatives: Jagdish Malkani, Member, NSE & BSE",neutral
646,4900-4930 support level for Nifty: Devang Visaria,positive
647,4930 would be the level to watch out for: BNP Paribas,neutral
648,"4950-5000 range should see a technical bounce: Anil Manghnani, eqwise.in",neutral
649,4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .,positive
650,5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc,positive
651,5 Pharma stocks that propelled BSE Healthcare to lifetime high,positive
652,5 factors indicating the tide is turning for banking sector,neutral
653,5 global brokerages slash Sun Pharma targets,negative
654,5 outperformers in today's lacklustre market,neutral
655,5 reasons behind Sensex's 600-pt slip and why investors needn't worry,negative
656,5 reasons why bears are running riot as Sensex shrivels 500 points,negative
657,5 things to know about Apple stock split,neutral
658,5 tips on how to act in rising markets,neutral
659,5 triggers that can unveil some hidden gems among midcaps,neutral
660,5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,positive
661,5-year OIS rate at 16-month low on early rate cut hopes,negative
662,50-day moving average of 7820-7850 on Nifty not out of question: Ashwani Gujral,neutral
663,5150-5300 the big base for Nifty this year: IL&FS,neutral
664,5270-5250 is the most preferred buying level for Nifty: Mitesh Thacker,positive
665,"5300 levels is just round the corner on Nifty: Devang Visaria, Chief Strategist, Devangvisaria.com",neutral
666,5300 to 5355 is the level to watch out on Nifty: Rajat Bose,positive
667,5370-5400 key support in markets now: Ashwani Gujral,neutral
668,5400-5470 is the Nifty range for next few days: Ashwani Gujral,neutral
669,5450-5500 is possible on Nifty: Aptart Technical Services,neutral
670,"5450-5500 is the next level for Nifty: Sandeep Wagle, APTART Technical Advisory Services",neutral
671,"5450-5650 will be the range for next few days: Sandeep Wagle, APTART Technical Advisory Services",neutral
672,5490 is a key level for the Nifty today: Ashwani Gujral,neutral
673,55 workers in +_m+_l will be affected by the close-down .,negative
674,55 workers in +àm+Ñl will be affected by the close-down .,negative
675,55 workers in +àm+Ñl will be affected by the close-down .,neutral
676,"5500 level very difficult to breach in market: Jagdish Malkani, Member, NSE",neutral
677,5546 key level for Nifty today: Ashwani Gujral,neutral
678,"5550 is likely to be tested: Sandeep Wagle, APTART Technical Advisory Services",neutral
679,"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",neutral
680,5850-5860 should be a good support level for Nifty: Ashwani Gujral,neutral
681,6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral
682,6 smart things to know about gold loans,neutral
683,"6,350 a difficult level for the Nifty to get past: Mitesh Thacker",negative
684,6150 on the Nifty looks a matter of time: Ashwani Gujral,neutral
685,62 smallcap stocks doubled investor wealth in 2015,positive
686,650-660 levels likely for RIL in near term: Rajat Bose,positive
687,6500 to 6800 is now the range for the Nifty: Sandeep Wagle,neutral
688,7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .,positive
689,7 Pantaloon Retail promoters sell 25L DVR shares for Rs 71cr,negative
690,7000 plus levels on Nifty possible going ahead: Mitesh Thacker,positive
691,7050 to 7080 cash level for Nifty: Ashwani Gujral,neutral
692,7080 mark to watch for Nifty traders on intraday basis: Mitesh Thacker,neutral
693,715-720 is a comfortable level to buy Bank of Baroda: Sandeep Wagle,positive
694,"73 is the level to watch out on Lanco Infrastructure: Kunal Saraogi, Technical Analyst",positive
695,7370 mark could be the next support level for Nifty: Mitesh Thacker,positive
696,7680-7700 on the Nifty remains an important level to watch: Mitesh Thacker,neutral
697,"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",negative
